label,area,centroid-0,centroid-1,eccentricity,perimeter,image_number,treatment,group
22,0.6155999999999999,150.8421052631579,361.8421052631579,0.5207037318817048,2.3527922061357853,10,GLU-40min,R326H
23,1.2635999999999998,158.48717948717947,255.97435897435898,0.7457150100110976,3.8364675298172566,10,GLU-40min,R326H
24,1.2311999999999999,166.52631578947367,243.68421052631578,0.6332582124365587,3.6873506473629423,10,GLU-40min,R326H
25,4.4712,170.08695652173913,484.19565217391306,0.9124014822755308,8.64749350086167,10,GLU-40min,R326H
26,2.4299999999999997,187.93333333333334,32.88,0.6179485805123577,5.42558441227157,10,GLU-40min,R326H
27,0.6803999999999999,194.33333333333334,223.0952380952381,0.7283376232430773,2.6755129855222064,10,GLU-40min,R326H
28,5.6052,258.9306358381503,245.61271676300578,0.8966429210068529,9.578376618407356,10,GLU-40min,R326H
29,3.3371999999999997,291.8252427184466,170.48543689320388,0.6427918974246725,6.505584412271571,10,GLU-40min,R326H
30,2.2032,311.97058823529414,116.8970588235294,0.7093789694666851,5.214701294725885,10,GLU-40min,R326H
31,3.8231999999999995,365.72033898305085,929.6186440677966,0.8130436495192543,7.269259735953042,10,GLU-40min,R326H
32,3.4019999999999997,372.67619047619047,993.1333333333333,0.6082639603915014,6.4438181771802,10,GLU-40min,R326H
33,0.7451999999999999,370.7826086956522,17.391304347826086,0.5979667161426384,2.712792206135785,10,GLU-40min,R326H
34,0.9072,377.67857142857144,59.642857142857146,0.9024498512364372,3.4327922061357854,10,GLU-40min,R326H
35,1.2311999999999999,379.0263157894737,14.105263157894736,0.8305721746913179,3.7927922061357853,10,GLU-40min,R326H
36,2.3327999999999998,392.93055555555554,31.680555555555557,0.3713375068794841,5.171025971044414,10,GLU-40min,R326H
37,2.6244,400.95061728395063,928.8641975308642,0.8894929826516651,6.251025971044413,10,GLU-40min,R326H
38,1.9764,405.95081967213116,95.72131147540983,0.7705810416886716,5.065584412271571,10,GLU-40min,R326H
39,0.6803999999999999,409.0952380952381,921.4761904761905,0.7429881364958282,2.6073506473629426,10,GLU-40min,R326H
40,0.8099999999999999,441.96,718.76,0.6441911507451396,2.818233764908628,10,GLU-40min,R326H
41,1.2959999999999998,457.05,770.075,0.4980934074473947,3.6873506473629423,10,GLU-40min,R326H
42,0.6155999999999999,458.5263157894737,76.84210526315789,0.7584691145965126,2.4582337649086283,10,GLU-40min,R326H
43,0.5508,471.88235294117646,718.4117647058823,0.625943231252129,2.203675323681471,10,GLU-40min,R326H
44,2.1708,479.7164179104478,432.02985074626866,0.588271939757128,5.214701294725885,10,GLU-40min,R326H
45,0.8099999999999999,481.2,383.24,0.5370654454079512,2.818233764908628,10,GLU-40min,R326H
46,2.6568,486.0365853658537,718.939024390244,0.7147625204467322,5.680142853498728,10,GLU-40min,R326H
47,2.7539999999999996,487.6470588235294,779.2235294117647,0.32380814522479834,5.680142853498728,10,GLU-40min,R326H
48,2.6891999999999996,493.2530120481928,914.3614457831326,0.6453582500389012,5.785584412271571,10,GLU-40min,R326H
49,0.8099999999999999,499.72,766.44,0.6589752126678905,2.967350647362942,10,GLU-40min,R326H
50,1.7495999999999998,534.4444444444445,864.7592592592592,0.7811781782185325,4.705584412271571,10,GLU-40min,R326H
51,2.8512,535.9090909090909,391.4886363636364,0.6779670114238964,5.785584412271571,10,GLU-40min,R326H
52,1.6847999999999999,537.3269230769231,407.0769230769231,0.6434639611911479,4.407350647362943,10,GLU-40min,R326H
53,2.4623999999999997,549.5657894736842,903.4473684210526,0.8814257789156691,6.2947012947258845,10,GLU-40min,R326H
54,0.6803999999999999,549.7619047619048,924.8095238095239,0.6586748189922972,2.6073506473629426,10,GLU-40min,R326H
55,1.2635999999999998,576.1282051282051,953.1282051282051,0.41530014054349734,3.5819090885901,10,GLU-40min,R326H
56,0.8099999999999999,578.4,846.44,0.3881555064577865,2.8619090885900995,10,GLU-40min,R326H
57,1.2959999999999998,580.625,758.4,0.6107755001327002,3.8364675298172566,10,GLU-40min,R326H
58,3.3371999999999997,664.8543689320388,166.6601941747573,0.752644350460738,6.4001428534987275,10,GLU-40min,R326H
59,0.5831999999999999,666.3888888888889,148.27777777777777,0.7226591383582849,2.3527922061357853,10,GLU-40min,R326H
60,4.859999999999999,708.3466666666667,46.973333333333336,0.922573781655233,9.472935059634514,10,GLU-40min,R326H
