treatment,group,image_number,cell_label,cell_area,granule_count,granules_per_area
GLU-40min,R326H,2,19,162.6804,0,0.0
GLU-40min,R326H,2,23,127.65599999999998,0,0.0
GLU-40min,R326H,2,24,174.73319999999998,0,0.0
GLU-40min,R326H,3,10,169.8084,1,0.005888990179519976
GLU-40min,R326H,3,12,193.29839999999996,4,0.020693394254686023
GLU-40min,R326H,3,13,159.1488,0,0.0
GLU-40min,R326H,3,14,191.67839999999998,1,0.005217071928814097
GLU-40min,R326H,3,15,302.5836,5,0.016524358887923866
GLU-40min,R326H,3,16,175.284,2,0.011410054540060702
GLU-40min,R326H,3,17,173.37239999999997,1,0.005767930766373426
GLU-40min,R326H,3,19,181.6992,5,0.027518007784294043
GLU-40min,R326H,3,20,204.8004,0,0.0
GLU-40min,R326H,3,21,322.9632,6,0.018577968016170263
GLU-40min,R326H,3,22,249.6096,2,0.008012512339269003
GLU-40min,R326H,3,24,132.678,0,0.0
GLU-40min,R326H,3,25,241.08839999999998,5,0.020739280695379787
GLU-40min,R326H,3,27,159.6024,0,0.0
GLU-40min,R326H,3,28,143.75879999999998,2,0.013912191810170928
GLU-40min,R326H,3,29,222.2964,2,0.008996996802467336
GLU-40min,R326H,3,30,219.38039999999998,6,0.02734975412571041
GLU-40min,R326H,3,31,155.358,1,0.006436746096113492
GLU-40min,R326H,3,32,220.4496,5,0.022680921172004848
GLU-40min,R326H,3,33,156.1032,2,0.01281203716515741
GLU-40min,R326H,3,34,156.81599999999997,2,0.012753800632588514
GLU-40min,R326H,3,35,182.6064,1,0.005476259320593363
GLU-40min,R326H,3,36,199.9728,1,0.005000680092492579
GLU-40min,R326H,3,37,218.6676,0,0.0
GLU-40min,R326H,3,38,321.246,6,0.01867727535907062
GLU-40min,R326H,3,39,196.21439999999998,0,0.0
GLU-40min,R326H,3,40,189.378,4,0.021121777608803557
GLU-40min,R326H,3,41,173.89079999999998,4,0.02300294207629156
GLU-40min,R326H,3,42,211.9932,0,0.0
GLU-40min,R326H,3,43,122.05079999999998,0,0.0
GLU-40min,R326H,3,44,201.9492,7,0.034662182370615975
GLU-40min,R326H,3,45,122.7636,0,0.0
GLU-40min,R326H,3,46,135.69119999999998,0,0.0
GLU-40min,R326H,3,47,171.072,3,0.017536475869809203
GLU-40min,R326H,3,48,113.7888,0,0.0
GLU-40min,R326H,3,49,177.29279999999997,6,0.03384232185401777
GLU-40min,R326H,3,50,78.4404,1,0.012748532643892689
GLU-40min,R326H,3,51,160.34759999999997,1,0.006236451309530047
GLU-40min,R326H,3,52,163.65239999999997,4,0.024442049123630332
GLU-40min,R326H,3,53,103.032,0,0.0
GLU-40min,R326H,3,54,264.2544,2,0.007568464328313929
GLU-40min,R326H,3,55,227.3832,0,0.0
GLU-40min,R326H,3,56,133.974,0,0.0
GLU-40min,R326H,3,57,121.37039999999999,3,0.024717723596527658
GLU-40min,R326H,3,58,195.4692,0,0.0
GLU-40min,R326H,3,60,243.64799999999997,3,0.012312844759653272
GLU-40min,R326H,3,61,86.2164,0,0.0
GLU-40min,R326H,3,62,132.7104,0,0.0
GLU-40min,R326H,3,63,209.1744,2,0.009561399482919517
GLU-40min,R326H,3,64,142.13879999999997,0,0.0
GLU-40min,R326H,3,65,154.5804,0,0.0
GLU-40min,R326H,3,66,141.45839999999998,0,0.0
GLU-40min,R326H,3,67,158.59799999999998,1,0.006305249750942635
GLU-40min,R326H,3,68,149.16959999999997,0,0.0
GLU-40min,R326H,3,69,188.6976,1,0.005299484466151133
GLU-40min,R326H,3,71,241.67159999999998,0,0.0
GLU-40min,R326H,3,72,128.30399999999997,0,0.0
GLU-40min,R326H,3,73,187.40159999999997,2,0.010672267472636308
GLU-40min,R326H,3,74,237.42719999999997,6,0.025270904091864794
GLU-40min,R326H,3,75,186.68879999999996,2,0.010713015456738703
GLU-40min,R326H,3,76,237.5892,0,0.0
GLU-40min,R326H,3,77,201.9816,5,0.024754730133833974
GLU-40min,R326H,3,78,279.0936,5,0.01791513671399129
GLU-40min,R326H,3,79,151.17839999999998,0,0.0
GLU-40min,R326H,3,80,203.14799999999997,0,0.0
GLU-40min,R326H,3,84,189.24839999999998,0,0.0
GLU-40min,R326H,3,85,136.0476,1,0.007350368547478971
GLU-40min,R326H,3,87,138.6396,0,0.0
GLU-40min,R326H,3,88,168.31799999999998,2,0.011882270464240308
GLU-40min,R326H,3,89,196.1172,4,0.020395967309343597
GLU-40min,R326H,3,92,166.212,0,0.0
GLU-40min,R326H,3,93,122.4396,0,0.0
GLU-40min,R326H,3,94,118.1952,0,0.0
GLU-40min,R326H,3,95,175.5108,0,0.0
GLU-40min,R326H,4,3,303.19919999999996,4,0.013192646946298013
GLU-40min,R326H,4,4,175.284,1,0.005705027270030351
GLU-40min,R326H,4,5,233.70119999999997,6,0.025673809120363954
GLU-40min,R326H,4,6,202.5324,1,0.004937481607881011
GLU-40min,R326H,4,8,192.2292,4,0.020808493194582302
GLU-40min,R326H,4,9,205.8372,1,0.004858208331632961
GLU-40min,R326H,4,11,227.934,1,0.004387234901331087
GLU-40min,R326H,4,12,264.1248,3,0.011358267001054047
GLU-40min,R326H,4,13,234.67319999999998,4,0.017044979997715974
GLU-40min,R326H,4,14,452.56319999999994,4,0.008838544539193643
GLU-40min,R326H,4,15,229.74839999999998,2,0.00870517487825813
GLU-40min,R326H,4,16,315.3168,5,0.01585706819300462
GLU-40min,R326H,4,17,193.4604,0,0.0
GLU-40min,R326H,4,19,17.82,0,0.0
GLU-40min,R326H,4,20,223.236,5,0.022397821139959504
GLU-40min,R326H,4,21,222.2316,4,0.017999240432053767
GLU-40min,R326H,4,22,220.19039999999998,2,0.00908304812562219
GLU-40min,R326H,4,24,126.8136,1,0.00788558955821773
GLU-40min,R326H,4,25,220.41719999999998,4,0.01814740410457986
GLU-40min,R326H,4,26,246.66119999999998,2,0.008108287805297307
GLU-40min,R326H,4,27,148.1976,2,0.013495495203701005
GLU-40min,R326H,4,28,209.59559999999996,4,0.01908437009173857
GLU-40min,R326H,4,29,276.1128,4,0.014486832917561228
GLU-40min,R326H,4,30,367.9992,3,0.008152191635199207
GLU-40min,R326H,4,32,392.7528,5,0.012730653988972199
GLU-40min,R326H,4,34,220.02839999999998,2,0.009089735688665645
GLU-40min,R326H,4,35,283.1436,2,0.007063553617316443
GLU-40min,R326H,4,36,181.27799999999996,1,0.005516389192290296
GLU-40min,R326H,4,37,201.78719999999998,0,0.0
GLU-40min,R326H,4,38,184.06439999999998,1,0.005432881100310544
GLU-40min,R326H,4,39,137.73239999999998,0,0.0
GLU-40min,R326H,4,40,160.70399999999998,0,0.0
GLU-40min,R326H,4,41,190.09079999999997,2,0.010521287721446804
GLU-40min,R326H,4,42,289.7532,0,0.0
GLU-40min,R326H,4,45,147.3552,0,0.0
GLU-40min,R326H,4,46,133.5528,0,0.0
GLU-40min,R326H,4,48,195.37199999999996,1,0.005118440718219603
GLU-40min,R326H,5,8,132.45119999999997,0,0.0
GLU-40min,R326H,5,9,24.656399999999998,0,0.0
GLU-40min,R326H,5,10,110.19239999999999,0,0.0
GLU-40min,R326H,5,11,125.7768,1,0.007950591842056723
GLU-40min,R326H,5,12,158.88959999999997,0,0.0
GLU-40min,R326H,5,13,233.47439999999997,2,0.008566249661633139
GLU-40min,R326H,5,14,137.214,3,0.02186365822729459
GLU-40min,R326H,5,15,280.84319999999997,6,0.02136423456220411
GLU-40min,R326H,5,16,271.4796,6,0.022101108149562617
GLU-40min,R326H,5,17,213.7104,3,0.014037688385778138
GLU-40min,R326H,5,18,28.512,0,0.0
GLU-40min,R326H,5,19,183.80519999999999,2,0.010881084974745003
GLU-40min,R326H,5,20,267.4944,3,0.011215188056273329
GLU-40min,R326H,5,21,308.286,4,0.012974964805407965
GLU-40min,R326H,5,22,190.8036,2,0.01048198252024595
GLU-40min,R326H,5,23,140.32439999999997,0,0.0
GLU-40min,R326H,5,24,203.47199999999998,0,0.0
GLU-40min,R326H,5,25,279.8712,3,0.010719216553900509
GLU-40min,R326H,5,26,178.8156,3,0.01677705971962178
GLU-40min,R326H,5,27,155.09879999999998,1,0.00644750313993403
